sample_id,instr,playing_mode,sounding_note,dyn,acoustic_density,filename
double_bass_C4_mf,double_bass,ordinary,C4,mf,28.97921,double_bass_ordinary_cdm.json
double_bass_C4_ff,double_bass,ordinary,C4,ff,38.02027,double_bass_ordinary_cdm.json
double_bass_C#4_pp,double_bass,ordinary,C#4,pp,27.733857,double_bass_ordinary_cdm.json
double_bass_C#4_mf,double_bass,ordinary,C#4,mf,26.875424,double_bass_ordinary_cdm.json
double_bass_C#4_ff,double_bass,ordinary,C#4,ff,30.132005,double_bass_ordinary_cdm.json
double_bass_D4_pp,double_bass,ordinary,D4,pp,28.615411,double_bass_ordinary_cdm.json
double_bass_D4_mf,double_bass,ordinary,D4,mf,23.674782,double_bass_ordinary_cdm.json
double_bass_D4_ff,double_bass,ordinary,D4,ff,27.498803,double_bass_ordinary_cdm.json
double_bass_D#4_pp,double_bass,ordinary,D#4,pp,23.600421,double_bass_ordinary_cdm.json
double_bass_D#4_mf,double_bass,ordinary,D#4,mf,16.53794,double_bass_ordinary_cdm.json
double_bass_D#4_ff,double_bass,ordinary,D#4,ff,27.454664,double_bass_ordinary_cdm.json
double_bass_E4_pp,double_bass,ordinary,E4,pp,23.261444,double_bass_ordinary_cdm.json
double_bass_E4_mf,double_bass,ordinary,E4,mf,18.548183,double_bass_ordinary_cdm.json
double_bass_E4_ff,double_bass,ordinary,E4,ff,29.581959,double_bass_ordinary_cdm.json
double_bass_F4_pp,double_bass,ordinary,F4,pp,18.16792,double_bass_ordinary_cdm.json
double_bass_F4_mf,double_bass,ordinary,F4,mf,17.528267,double_bass_ordinary_cdm.json
double_bass_F4_ff,double_bass,ordinary,F4,ff,22.885256,double_bass_ordinary_cdm.json
double_bass_F#4_pp,double_bass,ordinary,F#4,pp,22.610232,double_bass_ordinary_cdm.json
double_bass_F#4_mf,double_bass,ordinary,F#4,mf,15.154271,double_bass_ordinary_cdm.json
double_bass_F#4_ff,double_bass,ordinary,F#4,ff,29.745109,double_bass_ordinary_cdm.json
double_bass_G4_pp,double_bass,ordinary,G4,pp,17.456604,double_bass_ordinary_cdm.json
